Year,AW_s,AW_o,AW,Pollution
1951,0.7189282912547469,0.00013100483479474564,0.7190592960895417,0.7190592960895417
1952,0.7179999999999985,0.02919422853678859,0.7471942285367871,0.7471942285367871
1953,0.7179999999999985,0.14249836134903623,0.8604983613490348,0.8604983613490348
1954,1.076997550682703,0.3082641633889144,1.3852617140716172,1.3852617140716172
1955,1.0769999999999977,0.495503359172242,1.5725033591722397,1.5725033591722397
1956,1.435997550682702,0.6844242457601543,2.1204217964428564,2.1204217964428564
1957,1.7949975506827014,0.8670817507458219,2.6620793014285233,2.6620793014285233
1958,1.7949999999999962,1.0775823819228054,2.8725823819228014,2.8725823819228014
1959,2.1539975506827007,1.318370466629643,3.472368017312344,3.472368017312344
1960,2.5129975506827,1.5716497253886985,4.084647276071398,4.084647276071398
1961,2.871997550682699,1.8456159242806816,4.717613474963381,4.717613474963381
1962,3.2309975506826984,2.1483428156524247,5.379340366335123,5.379340366335123
1963,3.948995101365402,2.4919797557553602,6.440974857120763,6.440974857120763
1964,4.6669951013654005,2.8869897304801455,7.553984831845546,7.553984831845546
1965,5.384995101365399,3.3642942912647036,8.749289392630102,8.749289392630102
1966,6.102995101365398,3.941242371082914,10.044237472448312,10.044237472448312
1967,7.1799926520481,4.615952450603013,11.795945102651114,11.795945102651114
1968,8.256992652048098,5.379556172210428,13.636548824258526,13.636548824258526
1969,9.6929902027308,6.249186912306826,15.942177115037627,15.942177115037627
1970,11.4879877534135,7.24873255280494,18.73672030621844,18.73672030621844
1971,12.564992652048089,8.428824720644068,20.993817372692156,20.993817372692156
1972,13.641992652048087,9.804112786707318,23.446105438755403,23.446105438755403
1973,15.795985304096197,11.29484746541248,27.09083276950868,27.09083276950868
1974,18.308982854778893,12.858220089579962,31.167202944358856,31.167202944358856
1975,18.667997550682667,14.573958613015513,33.24195616369818,33.24195616369818
1976,16.514014695903732,16.470988154440462,32.985002850344195,32.985002850344195
1977,19.3859804054616,18.251943191515753,37.63792359697735,37.63792359697735
1978,21.180987753413476,19.627092341760303,40.80808009517378,40.80808009517378
1979,22.975987753413477,20.857894438271718,43.83388219168519,43.83388219168519
1980,25.488982854778882,22.21402421129741,47.703007066076296,47.703007066076296
1981,25.13000244931724,23.93372611901617,49.06372856833341,48.229645182671746
1982,25.847995101365356,25.929062962754617,51.77705806411997,50.534408670581094
1983,26.20699755068265,27.84575956305997,54.05275711374262,52.3771216432166
1984,28.719982854778873,29.520481988358565,58.24046484313744,56.02732717909821
1985,30.873985304096166,30.966118895434132,61.8401041995303,59.05729951055143
1986,32.30999020273076,32.50027304113602,64.81026324386679,61.440129555185706
1987,34.46398530409616,34.296872338286704,68.76085764238286,64.70396704148227
1988,37.33598040546156,36.36060778148992,73.69658818695149,68.61444971992373
1989,39.48998530409614,38.67025278117693,78.16023808527306,71.95182741889283
1990,41.02372684962372,41.227034982695905,82.25076183231963,74.84616018608014
1991,43.3051999865593,43.95163641603646,87.25683640259575,78.47879745233695
1992,44.88538345250065,46.71560268251314,91.60098613501378,81.40216294711705
1993,47.91961829261705,49.45086082423014,97.37047911684719,85.5085754322522
1994,49.894558585860175,52.15868030260375,102.05323888846392,88.52787243398484
1995,55.117277778887534,54.96925203268338,110.08652981157091,94.40327002144267
1996,57.12560655933097,58.000313756411835,115.1259203157428,97.48453858432464
1997,61.666411389823,61.467499859006786,123.13391124882978,103.00837920745928
1998,66.23098557258352,65.26993388712377,131.5009194597073,108.6562794377657
1999,69.3920617889139,69.48384604342324,138.87590783233713,113.24949379070881
2000,74.74027422011467,74.03495475796974,148.7752289780844,119.79579870315447
2001,79.05065792325618,78.85109199934571,157.90174992260188,125.46261926081687
2002,81.24707439064476,83.9709345661453,165.21800895679007,129.3892782929974
2003,86.35551820086368,89.23113059920027,175.58664880006395,135.65667635874178
2004,90.43134597556691,94.45036363352116,184.8817096090881,140.8276223899149
2005,96.34124534140791,99.68765559177132,196.02890093317922,147.30259731156966
2006,99.41000308631462,105.03872553725758,204.4487286235722,151.32946095692836
2007,106.1024630529203,110.66634610310227,216.76880915602257,158.24919402564285
2008,112.11652904177075,116.47992721292226,228.596456254693,164.49951689313963
2009,107.77044435665893,122.64771328304512,230.41815763970405,162.57398993014118
2010,111.0106969718068,128.79368240240288,239.80437937420967,166.44042672749907
2011,120.7736982498107,134.0280281211766,254.8017263709873,174.5790537885367
2012,125.90689613300792,138.63378939648598,264.5406855294939,178.5158857606038
2013,131.36940368333507,143.52227190323973,274.8916755865748,182.66525055572387
2014,137.17474154345754,149.232760041547,286.4075015850045,187.3226823041126
2015,143.39089157369781,155.7699976239597,299.1608891976575,192.49971291558273
